term1,term2,relation
residência,alojamento,hypo
residência,endereço,hypo
residência,endereço,hypo
residência,quarto,hypo
residência,albergue,hyper
residência,pousada,hyper
residência,pensão,hyper
residência,apartamento,hyper
residência,hotel,hyper
residência,igreja,hyper
residência,jardins,hyper
residência,aeroporto,hyper
residência,recepção,hyper
quinto,quarto,hypo
quinto,duplo,hyper
lavanderia,babá,hyper
lavanderia,porteiro,hyper
lavanderia,lavanderia,hypo
lavanderia,lavanderia,hyper
viajante,refeição,hypo
viajante,albergue,hyper
viajante,porteiro,hyper
voucher,service,hypo
explicação,acomodação,hyper
transferência,recepção,hyper
menino,apartamento,hyper
menino,motel,hyper
menino,babá,hyper
menino,porteiro,hyper
mudança,acomodação,hyper
arrumação,alojamento,hypo
arrumação,alojamento,hypo
arrumação,alojamento,hypo
arrumação,acomodação,hyper
alimentação,acomodação,hyper
alimentação,pensão,hyper
féria,hostal,hyper
trenzinho,albergue,hyper
trenzinho,pousada,hyper
trenzinho,hotel,hyper
trenzinho,motel,hyper
trenzinho,museu,hyper
trenzinho,jardins,hyper
trenzinho,parque,hyper
trenzinho,suíte,hyper
prostituto,apartamento,hyper
prostituto,motel,hyper
prostituto,babá,hyper
prostituto,porteiro,hyper
arquitetura,museu,hyper
arquitetura,universidade,hyper
arquitetura,suíte,hyper
jovem,babá,hyper
gigante,parque,hyper
standard,service,hypo
standard,service,hypo
standard,service,hypo
patis,praia,hyper
amigar,refeição,hypo
amigar,albergue,hyper
amigar,apartamento,hyper
amigar,motel,hyper
amigar,babá,hyper
amigar,porteiro,hyper
orientação,acomodação,hyper
noivar,apartamento,hyper
noivar,motel,hyper
noivar,babá,hyper
redondeza,igreja,hyper
redondeza,praia,hyper
redondeza,porteiro,hyper
comida,alojamento,hypo
comida,alojamento,hypo
comida,alojamento,hypo
comida,refeição,hypo
comida,albergue,hyper
comida,acomodação,hyper
comida,babá,hyper
sky,service,hypo
sky,service,hypo
sky,service,hypo
quedo,hostal,hyper
lanchonetes,alojamento,hypo
lanchonetes,alojamento,hypo
lanchonetes,alojamento,hypo
lanchonetes,refeição,hypo
lanchonetes,albergue,hyper
lanchonetes,pousada,hyper
lanchonetes,acomodação,hyper
lanchonetes,hotel,hyper
lanchonetes,motel,hyper
lanchonetes,jardins,hyper
lanchonetes,praia,hyper
lanchonetes,porteiro,hyper
lanchonetes,lavanderia,hypo
lanchonetes,lavanderia,hyper
fachada,hostal,hyper
fachada,apartamento,hyper
fachada,monumento,hyper
fachada,igreja,hyper
fachada,jardins,hyper
cenário,hotel,hyper
cenário,parque,hyper
cenário,teatro,hyper
suntuosidade,acomodação,hyper
suntuosidade,monumento,hyper
suntuosidade,igreja,hyper
suntuosidade,jardins,hyper
tablete,refeição,hypo
tablete,apartamento,hyper
cabeceira,hostal,hyper
cabeceira,pousada,hyper
carne,refeição,hypo
bufar,porteiro,hyper
colcha,pousada,hyper
colcha,suíte,hyper
número,endereço,hypo
número,endereço,hypo
número,quarto,hypo
satisfação,facilidade,hypo
direto,arena,hyper
direto,duplo,hyper
irmão,apartamento,hyper
irmão,babá,hyper
irmão,família,hypo
irmão,família,hyper
maciar,hostal,hyper
maciar,casal,hypo
maciar,casal,hyper
orá,endereço,hypo
orá,endereço,hypo
orá,service,hypo
orá,service,hypo
orá,service,hypo
orá,hostal,hyper
orá,igreja,hyper
orá,teatro,hyper
orá,porteiro,hyper
caixa,pensão,hyper
drinque,refeição,hypo
drinque,albergue,hyper
drinque,pousada,hyper
drinque,apartamento,hyper
drinque,hotel,hyper
drinque,motel,hyper
drinque,babá,hyper
drinque,suíte,hyper
praxar,refeição,hypo
praxar,universidade,hyper
passarela,monumento,hyper
passarela,arena,hyper
passarela,parque,hyper
passarela,aeroporto,hyper
passarela,praia,hyper
enjoar,refeição,hypo
jacuzzi,lavanderia,hypo
jacuzzi,lavanderia,hyper
meio,quarto,hypo
conveniência,acomodação,hyper
trajeto,endereço,hypo
trajeto,endereço,hypo
trajeto,endereço,hypo
trajeto,endereço,hypo
trajeto,aeroporto,hyper
sul,praia,hyper
florir,jardins,hyper
palace,service,hypo
palace,service,hypo
palace,albergue,hyper
palace,pousada,hyper
palace,apartamento,hyper
palace,hotel,hyper
palace,motel,hyper
palace,museu,hyper
palace,jardins,hyper
palace,arena,hyper
palace,parque,hyper
palace,teatro,hyper
palace,estádio,hyper
palace,suíte,hyper
estúdio,quarto,hypo
estúdio,apartamento,hyper
estúdio,hotel,hyper
estúdio,motel,hyper
estúdio,suíte,hyper
filhar,casal,hypo
filhar,casal,hyper
cópia,endereço,hypo
cópia,endereço,hypo
cópia,recepção,hyper
satisfazer,alojamento,hypo
satisfazer,alojamento,hypo
satisfazer,alojamento,hypo
importância,facilidade,hypo
envelope,endereço,hypo
envelope,endereço,hypo
envelope,apartamento,hyper
navio,hotel,hyper
jeito,apartamento,hyper
empresar,pensão,hyper
fórum,albergue,hyper
fórum,hotel,hyper
fórum,monumento,hyper
fórum,museu,hyper
fórum,parque,hyper
fórum,teatro,hyper
gôndola,refeição,hypo
gôndola,albergue,hyper
gôndola,pousada,hyper
gôndola,apartamento,hyper
gôndola,hotel,hyper
gôndola,praia,hyper
gôndola,suíte,hyper
trealase,facilidade,hypo
fantasma,motel,hyper
fantasma,babá,hyper
fantasma,porteiro,hyper
desorganização,acomodação,hyper
pintar,jardins,hyper
berço,hostal,hyper
norte,parque,hyper
norte,praia,hyper
terre,service,hypo
terre,service,hypo
terre,service,hypo
emoção,facilidade,hypo
m&m,hotel,hyper
visão,acomodação,hyper
estátua,pousada,hyper
estátua,monumento,hyper
estátua,museu,hyper
estátua,igreja,hyper
estátua,jardins,hyper
estátua,parque,hyper
estátua,estádio,hyper
estátua,praia,hyper
arena,hotel,hyper
arena,arena,hyper
arena,parque,hyper
arena,estádio,hyper
eficiência,facilidade,hypo
quantidade,facilidade,hypo
quilômetros,aeroporto,hyper
quilômetros,praia,hyper
acessá,endereço,hypo
acessá,endereço,hypo
acessá,service,hypo
acessá,service,hypo
acessá,service,hypo
acessá,suíte,hyper
simplicidade,facilidade,hypo
torre,hostal,hyper
torre,albergue,hyper
torre,pousada,hyper
torre,hotel,hyper
torre,monumento,hyper
torre,museu,hyper
torre,igreja,hyper
torre,jardins,hyper
torre,parque,hyper
torre,praia,hyper
edifício,endereço,hypo
edifício,endereço,hypo
edifício,endereço,hypo
edifício,endereço,hypo
edifício,hostal,hyper
edifício,albergue,hyper
edifício,pousada,hyper
edifício,apartamento,hyper
edifício,hotel,hyper
edifício,monumento,hyper
edifício,museu,hyper
edifício,igreja,hyper
edifício,jardins,hyper
edifício,parque,hyper
edifício,teatro,hyper
edifício,aeroporto,hyper
edifício,estádio,hyper
edifício,porteiro,hyper
xampu,babá,hyper
self,service,hypo
self,service,hypo
self,service,hypo
service,service,hypo
service,service,hypo
service,service,hypo
geral,quarto,hypo
avião,apartamento,hyper
avião,hotel,hyper
avião,motel,hyper
custo,alojamento,hypo
custo,alojamento,hypo
custo,alojamento,hypo
custo,alojamento,hypo
monotrilho,pousada,hyper
monotrilho,hotel,hyper
monotrilho,monumento,hyper
monotrilho,jardins,hyper
monotrilho,parque,hyper
monotrilho,aeroporto,hyper
mile,service,hypo
mile,service,hypo
mile,service,hypo
mile,hotel,hyper
ágil,facilidade,hypo
hidro,lavanderia,hypo
hidro,lavanderia,hyper
alternativo,duplo,hyper
silencioso,hostal,hyper
silencioso,albergue,hyper
silencioso,porteiro,hyper
início,quarto,hypo
início,recepção,hyper
silêncio,hostal,hyper
profissional,alojamento,hypo
profissional,alojamento,hypo
profissional,alojamento,hypo
profissional,alojamento,hypo
profissional,pensão,hyper
renovação,acomodação,hyper
malhar,refeição,hypo
pero,hostal,hyper
asi,service,hypo
asi,service,hypo
asi,service,hypo
filme,hostal,hyper
layout,endereço,hypo
layout,endereço,hypo
layout,acomodação,hyper
desvantagem,facilidade,hypo
sponsor,service,hypo
sponsor,service,hypo
sponsor,service,hypo
labirinto,albergue,hyper
galera,praia,hyper
beemote,hostal,hyper
beemote,igreja,hyper
mordomia,refeição,hypo
mordomia,albergue,hyper
mordomia,pousada,hyper
mordomia,pensão,hyper
mordomia,porteiro,hyper
moda,teatro,hyper
sorvete,refeição,hypo
sorvete,motel,hyper
sorvete,babá,hyper
sorvete,lavanderia,hypo
sorvete,lavanderia,hyper
roupão,porteiro,hyper
roupão,lavanderia,hypo
roupão,lavanderia,hyper
dançar,motel,hyper
dançar,teatro,hyper
dançar,babá,hyper
subsolo,apartamento,hyper
subsolo,hotel,hyper
subsolo,lavanderia,hypo
subsolo,lavanderia,hyper
hidromassagem,alojamento,hypo
hidromassagem,alojamento,hypo
hidromassagem,alojamento,hypo
hidromassagem,alojamento,hypo
hidromassagem,refeição,hypo
hidromassagem,albergue,hyper
hidromassagem,pousada,hyper
hidromassagem,acomodação,hyper
hidromassagem,apartamento,hyper
hidromassagem,hotel,hyper
hidromassagem,motel,hyper
hidromassagem,suíte,hyper
descrição,endereço,hypo
descrição,endereço,hypo
trio,suíte,hyper
km,aeroporto,hyper
km,praia,hyper
